Team 1,Team 2,Team 1 Win %,Team 2 Win %,Team 1 At Home,Team 1 Won
Indiana Pacers,Chicago Bulls,0.47842401500938087,0.3,0,1
Oklahoma City Thunder,Los Angeles Clippers,0.46883468834688347,0.5103473762010348,1,1
Phoenix Suns,Orlando Magic,0.30268918073796125,0.5623306233062331,1,0
San Antonio Spurs,Milwaukee Bucks,0.6368563685636857,0.47376201034737625,1,0
Utah Jazz,Miami Heat,0.4850948509485095,0.5,1,0
Portland Trail Blazers,Brooklyn Nets,0.5,0.3590785907859078,1,0
New Orleans Pelicans,Los Angeles Clippers,0.4971857410881801,0.4850948509485095,1,1
Atlanta Hawks,Washington Wizards,0.27736085053158227,0.5880758807588076,0,0
Houston Rockets,Memphis Grizzlies,0.7363977485928705,0.5636856368563686,1,1
Sacramento Kings,New York Knicks,0.2967479674796748,0.5149051490514905,0,0
Dallas Mavericks,Cleveland Cavaliers,0.2367104440275172,0.5150093808630394,1,0
Philadelphia 76ers,Golden State Warriors,0.4471544715447155,0.7851782363977486,0,0
Los Angeles Lakers,Milwaukee Bucks,0.3621013133208255,0.5040650406504065,0,0
Chicago Bulls,San Antonio Spurs,0.2878787878787879,0.6582238899312071,0,0
Denver Nuggets,Orlando Magic,0.5728580362726704,0.5281425891181989,1,1
Phoenix Suns,Minnesota Timberwolves,0.33565621370499416,0.5149051490514905,1,1
Utah Jazz,Brooklyn Nets,0.5150093808630394,0.3377110694183865,1,1
Boston Celtics,Toronto Raptors,0.7868757259001161,0.5962059620596206,1,1
Miami Heat,Detroit Pistons,0.4743589743589744,0.6632270168855535,0,0
Indiana Pacers,Houston Rockets,0.4564459930313589,0.7473867595818815,1,0
Dallas Mavericks,Oklahoma City Thunder,0.22938443670150988,0.49874921826141333,0,0
Washington Wizards,Sacramento Kings,0.609443402126329,0.28392745465916197,1,1
Cleveland Cavaliers,New York Knicks,0.540650406504065,0.4849906191369606,0,1
Milwaukee Bucks,Memphis Grizzlies,0.5297060662914321,0.5337711069418386,1,1
New Orleans Pelicans,Atlanta Hawks,0.519163763066202,0.2700348432055749,1,1
Phoenix Suns,Los Angeles Lakers,0.3197831978319783,0.39140534262485477,1,0
Minnesota Timberwolves,Utah Jazz,0.5362726704190118,0.4930313588850174,0,1
Portland Trail Blazers,Denver Nuggets,0.5256410256410257,0.5435540069686411,1,1
Orlando Magic,Golden State Warriors,0.4988385598141695,0.7961672473867596,0,0
Philadelphia 76ers,Los Angeles Clippers,0.4727954971857411,0.4637273295809881,0,1
Boston Celtics,Brooklyn Nets,0.7932249322493226,0.31939605110336816,0,1
Toronto Raptors,Houston Rockets,0.617573483427142,0.7124661246612466,0,1
San Antonio Spurs,Dallas Mavericks,0.6765389082462253,0.22303523035230355,0,1
Atlanta Hawks,Sacramento Kings,0.30813008130081304,0.27293844367015097,1,1
Miami Heat,Washington Wizards,0.4523809523809524,0.6277584204413472,1,0
New York Knicks,Utah Jazz,0.5069686411149825,0.47398373983739833,1,1
Charlotte Hornets,Cleveland Cavaliers,0.4027517198248906,0.5628726287262872,1,0
Indiana Pacers,Memphis Grizzlies,0.48184281842818427,0.508130081300813,0,1
Milwaukee Bucks,Detroit Pistons,0.5516840882694541,0.6265969802555168,1,1
San Antonio Spurs,Minnesota Timberwolves,0.6479674796747967,0.5545876887340303,0,0
Toronto Raptors,New Orleans Pelicans,0.6358885017421603,0.4937669376693767,0,1
Chicago Bulls,Oklahoma City Thunder,0.27777777777777773,0.524390243902439,0,0
Orlando Magic,Portland Trail Blazers,0.4734417344173442,0.5476190476190476,0,0
Philadelphia 76ers,Los Angeles Lakers,0.49477351916376305,0.3723577235772358,0,1
Boston Celtics,Golden State Warriors,0.7987804878048781,0.7612466124661247,1,1
Houston Rockets,Phoenix Suns,0.7235772357723578,0.30589430894308944,0,1
Detroit Pistons,Indiana Pacers,0.5948509485094851,0.5040650406504065,0,0
Miami Heat,Washington Wizards,0.4777777777777778,0.5991869918699186,0,1
Brooklyn Nets,Utah Jazz,0.34796747967479674,0.4573170731707317,1,1
