Home Win %,Visitor Win %,Home Won
0.547,0.442,1
0.341,0.438,0
0.644,0.679,0
0.631,0.482,1
0.55,0.61,1
0.455,0.706,0
0.333,0.407,0
0.6,0.408,1
0.443,0.456,1
0.38,0.5,1
0.618,0.466,0
0.684,0.615,1
0.244,0.471,0
0.449,0.638,0
0.626,0.399,1
0.617,0.619,1
0.649,0.533,1
0.447,0.475,1
0.434,0.463,0
0.557,0.293,1
0.463,0.401,1
0.337,0.621,0
0.553,0.459,1
0.491,0.624,0
0.688,0.375,1
0.608,0.451,0
0.256,0.455,1
0.711,0.289,1
0.607,0.463,1
0.632,0.61,1
0.469,0.542,1
0.407,0.37,1
0.607,0.654,0
0.484,0.629,1
0.456,0.334,1
0.443,0.253,1
0.541,0.394,1
0.563,0.329,1
0.471,0.441,1
0.5,0.622,1
0.629,0.598,1
0.636,0.598,1
0.463,0.434,1
0.532,0.381,0
0.478,0.642,1
0.285,0.615,0
0.692,0.399,1
0.614,0.331,1
0.443,0.452,0
0.57,0.455,1
0.548,0.462,1
0.717,0.325,1
0.588,0.443,0
0.508,0.476,1
0.404,0.612,1
0.452,0.448,1
0.604,0.627,1
0.264,0.618,1
0.471,0.448,1
0.556,0.322,1
0.281,0.538,0
0.472,0.696,0
0.376,0.647,0
0.412,0.605,1
0.444,0.722,0
0.623,0.561,1
0.454,0.344,0
0.407,0.603,1
0.611,0.469,1
0.618,0.456,0
0.563,0.436,1
0.479,0.552,1
0.579,0.456,0
0.62,0.261,1
0.543,0.444,1
0.387,0.594,1
0.651,0.5,1
0.612,0.727,0
0.461,0.318,1
0.445,0.406,1
0.609,0.686,1
0.602,0.415,0
0.463,0.656,0
0.437,0.625,0
0.558,0.341,1
0.732,0.449,1
0.571,0.57,0
0.481,0.278,1
0.465,0.471,1
0.61,0.549,0
0.69,0.257,1
0.617,0.315,1
0.585,0.468,0
0.615,0.456,1
0.453,0.492,1
0.399,0.422,0
0.437,0.631,0
0.576,0.338,1
0.563,0.736,0
0.564,0.443,1
0.539,0.591,0
0.472,0.254,1
0.447,0.478,0
0.615,0.43,1
0.393,0.66,0
0.382,0.621,0
0.693,0.45,1
0.312,0.5,0
0.609,0.46,1
