Home,Home Points,Visitor,Visitor Points
Oklahoma City Thunder,122,Utah Jazz,113
Dallas Mavericks,101,Orlando Magic,76
Denver Nuggets,105,Memphis Grizzlies,99
Phoenix Suns,119,Los Angeles Clippers,123
Golden State Warriors,116,Minnesota Timberwolves,108
Los Angeles Lakers,108,Miami Heat,105
Houston Rockets,111,Portland Trail Blazers,104
San Antonio Spurs,111,Phoenix Suns,86
Los Angeles Clippers,99,Toronto Raptors,123
Charlotte Hornets,108,Detroit Pistons,107
Cleveland Cavaliers,113,New York Knicks,106
Indiana Pacers,113,Milwaukee Bucks,97
Philadelphia 76ers,124,Brooklyn Nets,127
Washington Wizards,125,Boston Celtics,130
Memphis Grizzlies,92,Portland Trail Blazers,83
New Orleans Pelicans,118,Oklahoma City Thunder,114
Dallas Mavericks,114,Atlanta Hawks,107
Utah Jazz,111,Miami Heat,84
Sacramento Kings,141,Minnesota Timberwolves,130
Golden State Warriors,93,Toronto Raptors,113
Houston Rockets,126,Los Angeles Lakers,111
San Antonio Spurs,125,Los Angeles Clippers,87
Orlando Magic,97,Chicago Bulls,91
Phoenix Suns,99,Dallas Mavericks,89
Boston Celtics,129,Atlanta Hawks,108
Charlotte Hornets,124,New York Knicks,126
Brooklyn Nets,125,Washington Wizards,118
Cleveland Cavaliers,102,Milwaukee Bucks,114
Philadelphia 76ers,101,Indiana Pacers,113
Memphis Grizzlies,97,Miami Heat,100
Denver Nuggets,109,Oklahoma City Thunder,98
Portland Trail Blazers,128,Toronto Raptors,122
Sacramento Kings,125,Golden State Warriors,130
Orlando Magic,96,Utah Jazz,89
Charlotte Hornets,100,Los Angeles Lakers,128
Detroit Pistons,113,Boston Celtics,104
Memphis Grizzlies,97,Houston Rockets,105
San Antonio Spurs,93,Chicago Bulls,98
Oklahoma City Thunder,110,Los Angeles Clippers,104
Phoenix Suns,107,Minnesota Timberwolves,99
Brooklyn Nets,144,Atlanta Hawks,127
Cleveland Cavaliers,105,Philadelphia 76ers,128
Indiana Pacers,110,New York Knicks,99
Washington Wizards,128,Los Angeles Lakers,110
Dallas Mavericks,113,Sacramento Kings,120
New Orleans Pelicans,96,Miami Heat,102
Denver Nuggets,95,Toronto Raptors,86
Detroit Pistons,104,Milwaukee Bucks,107
New York Knicks,110,Phoenix Suns,128
Houston Rockets,102,Utah Jazz,97
Minnesota Timberwolves,132,Sacramento Kings,105
Oklahoma City Thunder,121,Chicago Bulls,96
San Antonio Spurs,123,Philadelphia 76ers,96
Golden State Warriors,110,Memphis Grizzlies,93
Los Angeles Clippers,127,Portland Trail Blazers,131
Indiana Pacers,91,Cleveland Cavaliers,92
Atlanta Hawks,118,Washington Wizards,110
Brooklyn Nets,115,Los Angeles Lakers,110
Denver Nuggets,126,Dallas Mavericks,118
Charlotte Hornets,110,Cleveland Cavaliers,99
Orlando Magic,90,San Antonio Spurs,129
Philadelphia 76ers,131,New York Knicks,109
Boston Celtics,103,Phoenix Suns,111
Toronto Raptors,99,Indiana Pacers,96
Chicago Bulls,93,Brooklyn Nets,96
Houston Rockets,136,Washington Wizards,118
Milwaukee Bucks,123,New Orleans Pelicans,115
Minnesota Timberwolves,123,Detroit Pistons,129
Utah Jazz,108,Golden State Warriors,103
Portland Trail Blazers,99,Memphis Grizzlies,92
Sacramento Kings,113,Oklahoma City Thunder,132
Miami Heat,101,Houston Rockets,99
Los Angeles Clippers,125,Dallas Mavericks,121
Charlotte Hornets,98,Detroit Pistons,86
Toronto Raptors,126,Cleveland Cavaliers,110
Brooklyn Nets,106,Indiana Pacers,114
New York Knicks,107,Atlanta Hawks,114
Boston Celtics,107,Milwaukee Bucks,120
Chicago Bulls,90,Orlando Magic,80
San Antonio Spurs,124,Minnesota Timberwolves,98
Portland Trail Blazers,90,Utah Jazz,120
Sacramento Kings,102,Memphis Grizzlies,99
Los Angeles Lakers,112,New Orleans Pelicans,104
Los Angeles Clippers,132,Denver Nuggets,111
Washington Wizards,149,Phoenix Suns,146
Philadelphia 76ers,126,Toronto Raptors,101
Houston Rockets,108,San Antonio Spurs,101
Miami Heat,94,Milwaukee Bucks,87
Golden State Warriors,120,Dallas Mavericks,116
Utah Jazz,106,Oklahoma City Thunder,107
Detroit Pistons,95,Atlanta Hawks,98
Indiana Pacers,105,Washington Wizards,89
Boston Celtics,119,Charlotte Hornets,103
Brooklyn Nets,111,Phoenix Suns,103
Cleveland Cavaliers,92,Chicago Bulls,112
Orlando Magic,91,Miami Heat,115
Sacramento Kings,122,New Orleans Pelicans,117
Oklahoma City Thunder,112,Minnesota Timberwolves,114
Golden State Warriors,129,Los Angeles Clippers,127
Portland Trail Blazers,121,Dallas Mavericks,118
Los Angeles Lakers,99,Memphis Grizzlies,107
New York Knicks,95,Milwaukee Bucks,109
Houston Rockets,113,Oklahoma City Thunder,109
Boston Celtics,121,Philadelphia 76ers,114
Golden State Warriors,101,Los Angeles Lakers,127
Utah Jazz,117,Portland Trail Blazers,96
Detroit Pistons,106,Washington Wizards,95
Orlando Magic,120,Phoenix Suns,122
Atlanta Hawks,121,Indiana Pacers,129
Brooklyn Nets,134,Charlotte Hornets,132
Miami Heat,104,Toronto Raptors,106
Chicago Bulls,94,Minnesota Timberwolves,119
Memphis Grizzlies,95,Cleveland Cavaliers,87
Dallas Mavericks,122,New Orleans Pelicans,119
San Antonio Spurs,111,Denver Nuggets,103
Los Angeles Clippers,127,Sacramento Kings,118
Houston Rockets,127,Boston Celtics,113
Milwaukee Bucks,112,New York Knicks,96
Sacramento Kings,117,Los Angeles Lakers,116
Golden State Warriors,109,Portland Trail Blazers,110
Utah Jazz,97,Philadelphia 76ers,114
Charlotte Hornets,100,Brooklyn Nets,87
Indiana Pacers,125,Detroit Pistons,88
Orlando Magic,116,Toronto Raptors,87
