Home,Home Points,Visitor,Visitor Points
Sacramento Kings,128,Houston Rockets,135
Los Angeles Lakers,110,Minnesota Timberwolves,109
Philadelphia 76ers,111,Indiana Pacers,120
Boston Celtics,114,Brooklyn Nets,105
Miami Heat,124,Cleveland Cavaliers,121
Chicago Bulls,122,Orlando Magic,75
Detroit Pistons,101,Washington Wizards,105
Milwaukee Bucks,89,Charlotte Hornets,79
Portland Trail Blazers,99,San Antonio Spurs,98
Golden State Warriors,99,Utah Jazz,105
Los Angeles Clippers,125,Houston Rockets,96
Atlanta Hawks,103,Charlotte Hornets,76
Minnesota Timberwolves,98,Oklahoma City Thunder,100
Dallas Mavericks,91,Denver Nuggets,109
Los Angeles Lakers,108,New Orleans Pelicans,96
Sacramento Kings,129,Phoenix Suns,104
Boston Celtics,112,Milwaukee Bucks,94
Chicago Bulls,112,Brooklyn Nets,73
Cleveland Cavaliers,83,Toronto Raptors,98
Houston Rockets,123,Minnesota Timberwolves,118
Indiana Pacers,104,Atlanta Hawks,86
Memphis Grizzlies,93,Dallas Mavericks,100
Miami Heat,110,Washington Wizards,102
New York Knicks,114,Philadelphia 76ers,113
Oklahoma City Thunder,105,Denver Nuggets,111
Orlando Magic,113,Detroit Pistons,109
Utah Jazz,101,San Antonio Spurs,97
Golden State Warriors,109,Los Angeles Lakers,94
Los Angeles Clippers,115,Sacramento Kings,95
Portland Trail Blazers,100,New Orleans Pelicans,103
Cleveland Cavaliers,109,Indiana Pacers,108
Toronto Raptors,83,Milwaukee Bucks,97
San Antonio Spurs,111,Memphis Grizzlies,82
Los Angeles Clippers,95,Utah Jazz,97
Washington Wizards,114,Atlanta Hawks,107
Golden State Warriors,121,Portland Trail Blazers,109
Boston Celtics,102,Chicago Bulls,106
Houston Rockets,118,Oklahoma City Thunder,87
Cleveland Cavaliers,117,Indiana Pacers,111
San Antonio Spurs,96,Memphis Grizzlies,82
Toronto Raptors,106,Milwaukee Bucks,100
Boston Celtics,97,Chicago Bulls,111
Los Angeles Clippers,99,Utah Jazz,91
Washington Wizards,109,Atlanta Hawks,101
Houston Rockets,115,Oklahoma City Thunder,111
Golden State Warriors,110,Portland Trail Blazers,81
Indiana Pacers,114,Cleveland Cavaliers,119
Milwaukee Bucks,104,Toronto Raptors,77
Memphis Grizzlies,105,San Antonio Spurs,94
Chicago Bulls,87,Boston Celtics,104
Oklahoma City Thunder,115,Houston Rockets,113
Utah Jazz,106,Los Angeles Clippers,111
Milwaukee Bucks,76,Toronto Raptors,87
Atlanta Hawks,116,Washington Wizards,98
Memphis Grizzlies,110,San Antonio Spurs,108
Portland Trail Blazers,113,Golden State Warriors,119
Indiana Pacers,102,Cleveland Cavaliers,106
Oklahoma City Thunder,109,Houston Rockets,113
Chicago Bulls,95,Boston Celtics,104
Utah Jazz,105,Los Angeles Clippers,98
Toronto Raptors,118,Milwaukee Bucks,93
Atlanta Hawks,111,Washington Wizards,101
Portland Trail Blazers,103,Golden State Warriors,128
Houston Rockets,105,Oklahoma City Thunder,99
San Antonio Spurs,116,Memphis Grizzlies,103
Los Angeles Clippers,92,Utah Jazz,96
Washington Wizards,103,Atlanta Hawks,99
Boston Celtics,108,Chicago Bulls,97
Milwaukee Bucks,89,Toronto Raptors,92
Memphis Grizzlies,96,San Antonio Spurs,103
Atlanta Hawks,99,Washington Wizards,115
Chicago Bulls,83,Boston Celtics,105
Utah Jazz,93,Los Angeles Clippers,98
Boston Celtics,123,Washington Wizards,111
Los Angeles Clippers,91,Utah Jazz,104
Cleveland Cavaliers,116,Toronto Raptors,105
San Antonio Spurs,99,Houston Rockets,126
Boston Celtics,129,Washington Wizards,119
Golden State Warriors,106,Utah Jazz,94
Cleveland Cavaliers,125,Toronto Raptors,103
San Antonio Spurs,121,Houston Rockets,96
Washington Wizards,116,Boston Celtics,89
Golden State Warriors,115,Utah Jazz,104
Toronto Raptors,94,Cleveland Cavaliers,115
Houston Rockets,92,San Antonio Spurs,103
Utah Jazz,91,Golden State Warriors,102
Toronto Raptors,102,Cleveland Cavaliers,109
Washington Wizards,121,Boston Celtics,102
Houston Rockets,125,San Antonio Spurs,104
Utah Jazz,95,Golden State Warriors,121
San Antonio Spurs,110,Houston Rockets,107
Boston Celtics,123,Washington Wizards,101
Houston Rockets,75,San Antonio Spurs,114
Washington Wizards,92,Boston Celtics,91
Golden State Warriors,113,San Antonio Spurs,111
Boston Celtics,115,Washington Wizards,105
Golden State Warriors,136,San Antonio Spurs,100
Boston Celtics,104,Cleveland Cavaliers,117
Boston Celtics,86,Cleveland Cavaliers,130
San Antonio Spurs,108,Golden State Warriors,120
Cleveland Cavaliers,108,Boston Celtics,111
San Antonio Spurs,115,Golden State Warriors,129
Cleveland Cavaliers,112,Boston Celtics,99
Boston Celtics,102,Cleveland Cavaliers,135
Golden State Warriors,113,Cleveland Cavaliers,91
Golden State Warriors,132,Cleveland Cavaliers,113
Cleveland Cavaliers,113,Golden State Warriors,118
Cleveland Cavaliers,137,Golden State Warriors,116
Golden State Warriors,129,Cleveland Cavaliers,120
