Team 1,Team 1 Points,Team 2,Team 2 Points,Home Team
Golden State Warriors,113,Los Angeles Lakers,106,Golden State Warriors
Toronto Raptors,102,Philadelphia 76ers,86,Toronto Raptors
Charlotte Hornets,111,Milwaukee Bucks,106,Charlotte Hornets
Indiana Pacers,123,Brooklyn Nets,119,Indiana Pacers
Washington Wizards,130,Orlando Magic,103,Washington Wizards
Atlanta Hawks,112,Dallas Mavericks,107,Atlanta Hawks
Boston Celtics,117,Chicago Bulls,92,Boston Celtics
Memphis Grizzlies,115,Los Angeles Clippers,112,Memphis Grizzlies
Miami Heat,94,New Orleans Pelicans,109,Miami Heat
Utah Jazz,89,Oklahoma City Thunder,103,Utah Jazz
Golden State Warriors,81,Denver Nuggets,96,Golden State Warriors
Phoenix Suns,106,Minnesota Timberwolves,115,Phoenix Suns
Los Angeles Lakers,92,Portland Trail Blazers,95,Los Angeles Lakers
Sacramento Kings,99,San Antonio Spurs,108,Sacramento Kings
New York Knicks,98,Philadelphia 76ers,105,New York Knicks
Golden State Warriors,99,Cleveland Cavaliers,92,Golden State Warriors
Boston Celtics,103,Washington Wizards,111,Boston Celtics
Oklahoma City Thunder,112,Houston Rockets,107,Oklahoma City Thunder
Los Angeles Lakers,104,Minnesota Timberwolves,121,Los Angeles Lakers
Dallas Mavericks,98,Toronto Raptors,93,Dallas Mavericks
Detroit Pistons,107,Indiana Pacers,83,Detroit Pistons
Miami Heat,107,Orlando Magic,89,Miami Heat
Milwaukee Bucks,106,Chicago Bulls,115,Milwaukee Bucks
San Antonio Spurs,109,Brooklyn Nets,97,San Antonio Spurs
Denver Nuggets,107,Utah Jazz,83,Denver Nuggets
Phoenix Suns,99,Memphis Grizzlies,97,Phoenix Suns
Los Angeles Clippers,122,Sacramento Kings,95,Los Angeles Clippers
Charlotte Hornets,91,Boston Celtics,102,Charlotte Hornets
Indiana Pacers,94,Dallas Mavericks,98,Indiana Pacers
Atlanta Hawks,113,Washington Wizards,99,Atlanta Hawks
Chicago Bulls,92,New York Knicks,87,Chicago Bulls
Minnesota Timberwolves,128,Denver Nuggets,125,Minnesota Timberwolves
New Orleans Pelicans,128,Brooklyn Nets,113,New Orleans Pelicans
Oklahoma City Thunder,124,Toronto Raptors,107,Oklahoma City Thunder
Sacramento Kings,109,Cleveland Cavaliers,95,Sacramento Kings
Golden State Warriors,126,Utah Jazz,101,Golden State Warriors
Los Angeles Lakers,99,Memphis Grizzlies,109,Los Angeles Lakers
Orlando Magic,102,Detroit Pistons,89,Orlando Magic
Boston Celtics,99,Houston Rockets,98,Boston Celtics
Milwaukee Bucks,102,Minnesota Timberwolves,96,Milwaukee Bucks
San Antonio Spurs,119,New York Knicks,107,San Antonio Spurs
Portland Trail Blazers,114,Philadelphia 76ers,110,Portland Trail Blazers
Washington Wizards,121,Houston Rockets,103,Washington Wizards
Toronto Raptors,111,Atlanta Hawks,98,Toronto Raptors
Chicago Bulls,119,Indiana Pacers,107,Chicago Bulls
Miami Heat,87,Brooklyn Nets,111,Miami Heat
New Orleans Pelicans,120,Dallas Mavericks,128,New Orleans Pelicans
Oklahoma City Thunder,95,Milwaukee Bucks,97,Oklahoma City Thunder
Sacramento Kings,101,Phoenix Suns,111,Sacramento Kings
Golden State Warriors,100,Charlotte Hornets,111,Golden State Warriors
Los Angeles Lakers,106,Los Angeles Clippers,121,Los Angeles Lakers
Detroit Pistons,93,San Antonio Spurs,79,Detroit Pistons
New Orleans Pelicans,103,New York Knicks,105,New Orleans Pelicans
Orlando Magic,111,Miami Heat,117,Orlando Magic
Atlanta Hawks,104,Portland Trail Blazers,89,Atlanta Hawks
Utah Jazz,104,Cleveland Cavaliers,101,Utah Jazz
Golden State Warriors,141,Memphis Grizzlies,128,Golden State Warriors
Denver Nuggets,102,Philadelphia 76ers,107,Denver Nuggets
Washington Wizards,114,Chicago Bulls,110,Washington Wizards
Indiana Pacers,90,Minnesota Timberwolves,107,Indiana Pacers
Boston Celtics,108,Brooklyn Nets,105,Boston Celtics
Houston Rockets,148,Los Angeles Lakers,142,Houston Rockets
Los Angeles Clippers,106,Charlotte Hornets,98,Los Angeles Clippers
Oklahoma City Thunder,113,Dallas Mavericks,116,Oklahoma City Thunder
Sacramento Kings,96,Memphis Grizzlies,114,Sacramento Kings
Phoenix Suns,110,Philadelphia 76ers,123,Phoenix Suns
Brooklyn Nets,98,Orlando Magic,95,Brooklyn Nets
Toronto Raptors,131,Milwaukee Bucks,127,Toronto Raptors
Chicago Bulls,120,Portland Trail Blazers,124,Chicago Bulls
Minnesota Timberwolves,114,Los Angeles Lakers,96,Minnesota Timberwolves
Cleveland Cavaliers,127,Portland Trail Blazers,110,Cleveland Cavaliers
New York Knicks,91,San Antonio Spurs,100,New York Knicks
Phoenix Suns,104,Atlanta Hawks,103,Phoenix Suns
Sacramento Kings,111,Charlotte Hornets,131,Sacramento Kings
Los Angeles Clippers,113,Memphis Grizzlies,105,Los Angeles Clippers
Orlando Magic,98,Houston Rockets,116,Orlando Magic
Philadelphia 76ers,112,San Antonio Spurs,106,Philadelphia 76ers
Washington Wizards,121,New York Knicks,103,Washington Wizards
Brooklyn Nets,98,Minnesota Timberwolves,97,Brooklyn Nets
Miami Heat,111,Detroit Pistons,104,Miami Heat
Boston Celtics,102,Cleveland Cavaliers,88,Boston Celtics
Chicago Bulls,115,Toronto Raptors,124,Chicago Bulls
Milwaukee Bucks,122,Indiana Pacers,101,Milwaukee Bucks
Dallas Mavericks,122,Golden State Warriors,125,Dallas Mavericks
Denver Nuggets,134,Phoenix Suns,111,Denver Nuggets
Utah Jazz,98,New Orleans Pelicans,108,Utah Jazz
Los Angeles Lakers,96,Oklahoma City Thunder,133,Los Angeles Lakers
Houston Rockets,114,Golden State Warriors,124,Houston Rockets
Los Angeles Clippers,117,Oklahoma City Thunder,127,Los Angeles Clippers
Boston Celtics,91,Minnesota Timberwolves,84,Boston Celtics
Philadelphia 76ers,114,Detroit Pistons,78,Philadelphia 76ers
Miami Heat,107,New York Knicks,103,Miami Heat
Milwaukee Bucks,110,Toronto Raptors,129,Milwaukee Bucks
Dallas Mavericks,124,Chicago Bulls,127,Dallas Mavericks
San Antonio Spurs,103,Phoenix Suns,89,San Antonio Spurs
Denver Nuggets,99,Utah Jazz,91,Denver Nuggets
Memphis Grizzlies,100,Washington Wizards,102,Memphis Grizzlies
Portland Trail Blazers,110,Atlanta Hawks,89,Portland Trail Blazers
Los Angeles Lakers,94,Charlotte Hornets,108,Los Angeles Lakers
Los Angeles Clippers,105,Golden State Warriors,121,Los Angeles Clippers
Brooklyn Nets,85,Boston Celtics,87,Brooklyn Nets
Detroit Pistons,108,Houston Rockets,101,Detroit Pistons
Indiana Pacers,125,Chicago Bulls,86,Indiana Pacers
Orlando Magic,127,Cleveland Cavaliers,131,Orlando Magic
Washington Wizards,103,Milwaukee Bucks,110,Washington Wizards
Minnesota Timberwolves,116,New Orleans Pelicans,98,Minnesota Timberwolves
Sacramento Kings,106,Denver Nuggets,98,Sacramento Kings
Miami Heat,103,Utah Jazz,102,Miami Heat
Dallas Mavericks,96,New York Knicks,100,Dallas Mavericks
Phoenix Suns,114,Oklahoma City Thunder,100,Phoenix Suns
Portland Trail Blazers,111,San Antonio Spurs,110,Portland Trail Blazers
Los Angeles Lakers,132,Atlanta Hawks,113,Los Angeles Lakers
Indiana Pacers,109,Milwaukee Bucks,96,Indiana Pacers
Brooklyn Nets,113,Toronto Raptors,114,Brooklyn Nets
Chicago Bulls,107,Houston Rockets,116,Chicago Bulls
Minnesota Timberwolves,127,Cleveland Cavaliers,99,Minnesota Timberwolves
New Orleans Pelicans,112,Detroit Pistons,109,New Orleans Pelicans
Sacramento Kings,100,San Antonio Spurs,107,Sacramento Kings
Golden State Warriors,124,Denver Nuggets,114,Golden State Warriors
Los Angeles Clippers,108,Atlanta Hawks,107,Los Angeles Clippers
Toronto Raptors,89,Miami Heat,90,Toronto Raptors
Oklahoma City Thunder,106,Portland Trail Blazers,117,Oklahoma City Thunder
Dallas Mavericks,114,Orlando Magic,99,Dallas Mavericks
Los Angeles Lakers,99,Sacramento Kings,86,Los Angeles Lakers
Charlotte Hornets,111,Dallas Mavericks,115,Charlotte Hornets
Indiana Pacers,106,Miami Heat,114,Indiana Pacers
Washington Wizards,104,Utah Jazz,107,Washington Wizards
Brooklyn Nets,80,Detroit Pistons,114,Brooklyn Nets
New York Knicks,119,Chicago Bulls,122,New York Knicks
Houston Rockets,121,Portland Trail Blazers,112,Houston Rockets
Memphis Grizzlies,105,New Orleans Pelicans,102,Memphis Grizzlies
Milwaukee Bucks,110,Orlando Magic,103,Milwaukee Bucks
Minnesota Timberwolves,104,Oklahoma City Thunder,88,Minnesota Timberwolves
Denver Nuggets,97,Atlanta Hawks,110,Denver Nuggets
Golden State Warriors,106,Los Angeles Clippers,125,Golden State Warriors
Philadelphia 76ers,103,Boston Celtics,114,Philadelphia 76ers
Toronto Raptors,133,Cleveland Cavaliers,99,Toronto Raptors
Sacramento Kings,115,Los Angeles Clippers,121,Sacramento Kings
Los Angeles Lakers,93,San Antonio Spurs,81,Los Angeles Lakers
Charlotte Hornets,99,Utah Jazz,88,Charlotte Hornets
Indiana Pacers,97,Cleveland Cavaliers,95,Indiana Pacers
Washington Wizards,125,Orlando Magic,119,Washington Wizards
Atlanta Hawks,105,Brooklyn Nets,110,Atlanta Hawks
Milwaukee Bucks,94,Golden State Warriors,108,Milwaukee Bucks
Minnesota Timberwolves,118,New York Knicks,108,Minnesota Timberwolves
New Orleans Pelicans,119,Portland Trail Blazers,113,New Orleans Pelicans
Denver Nuggets,87,Memphis Grizzlies,78,Denver Nuggets
Phoenix Suns,95,Houston Rockets,112,Phoenix Suns
Dallas Mavericks,101,Los Angeles Lakers,107,Dallas Mavericks
Los Angeles Clippers,126,Sacramento Kings,105,Los Angeles Clippers
Charlotte Hornets,91,Oklahoma City Thunder,101,Charlotte Hornets
Washington Wizards,119,Brooklyn Nets,113,Washington Wizards
Toronto Raptors,125,Golden State Warriors,127,Toronto Raptors
Chicago Bulls,107,Detroit Pistons,105,Chicago Bulls
San Antonio Spurs,112,Denver Nuggets,80,San Antonio Spurs
Miami Heat,97,Milwaukee Bucks,79,Miami Heat
New York Knicks,118,New Orleans Pelicans,123,New York Knicks
Phoenix Suns,97,Indiana Pacers,120,Phoenix Suns
Minnesota Timberwolves,120,Portland Trail Blazers,103,Minnesota Timberwolves
Detroit Pistons,107,Charlotte Hornets,118,Detroit Pistons
Philadelphia 76ers,117,Toronto Raptors,111,Philadelphia 76ers
Washington Wizards,95,Milwaukee Bucks,104,Washington Wizards
Atlanta Hawks,102,San Antonio Spurs,99,Atlanta Hawks
Brooklyn Nets,104,New York Knicks,119,Brooklyn Nets
Chicago Bulls,119,Miami Heat,111,Chicago Bulls
Memphis Grizzlies,123,Los Angeles Lakers,114,Memphis Grizzlies
Cleveland Cavaliers,108,Golden State Warriors,118,Cleveland Cavaliers
Oklahoma City Thunder,95,Sacramento Kings,88,Oklahoma City Thunder
Utah Jazz,94,Indiana Pacers,109,Utah Jazz
Los Angeles Clippers,113,Houston Rockets,102,Los Angeles Clippers
Orlando Magic,108,Minnesota Timberwolves,102,Orlando Magic
Boston Celtics,113,New Orleans Pelicans,116,Boston Celtics
Denver Nuggets,105,Dallas Mavericks,102,Denver Nuggets
Portland Trail Blazers,118,Phoenix Suns,111,Portland Trail Blazers
Charlotte Hornets,133,Washington Wizards,109,Charlotte Hornets
Atlanta Hawks,94,New Orleans Pelicans,93,Atlanta Hawks
Brooklyn Nets,95,San Antonio Spurs,100,Brooklyn Nets
Toronto Raptors,96,Detroit Pistons,91,Toronto Raptors
Chicago Bulls,112,Golden State Warriors,119,Chicago Bulls
Memphis Grizzlies,105,New York Knicks,99,Memphis Grizzlies
Milwaukee Bucks,101,Miami Heat,106,Milwaukee Bucks
Oklahoma City Thunder,114,Los Angeles Lakers,90,Oklahoma City Thunder
Sacramento Kings,105,Utah Jazz,120,Sacramento Kings
Los Angeles Clippers,109,Denver Nuggets,104,Los Angeles Clippers
Boston Celtics,80,Philadelphia 76ers,89,Boston Celtics
Cleveland Cavaliers,104,Orlando Magic,103,Cleveland Cavaliers
Houston Rockets,116,Minnesota Timberwolves,98,Houston Rockets
Portland Trail Blazers,100,Indiana Pacers,86,Portland Trail Blazers
Toronto Raptors,86,San Antonio Spurs,83,Toronto Raptors
Brooklyn Nets,101,Miami Heat,95,Brooklyn Nets
Detroit Pistons,112,Washington Wizards,122,Detroit Pistons
Memphis Grizzlies,106,Sacramento Kings,88,Memphis Grizzlies
Denver Nuggets,100,Phoenix Suns,108,Denver Nuggets
Los Angeles Lakers,99,Indiana Pacers,86,Los Angeles Lakers
Utah Jazz,115,New York Knicks,117,Utah Jazz
Cleveland Cavaliers,124,Oklahoma City Thunder,148,Cleveland Cavaliers
Atlanta Hawks,97,Chicago Bulls,113,Atlanta Hawks
Charlotte Hornets,105,Miami Heat,106,Charlotte Hornets
New Orleans Pelicans,111,Memphis Grizzlies,104,New Orleans Pelicans
Philadelphia 76ers,116,Milwaukee Bucks,94,Philadelphia 76ers
Houston Rockets,116,Golden State Warriors,108,Houston Rockets
Minnesota Timberwolves,115,Toronto Raptors,109,Minnesota Timberwolves
Utah Jazz,125,Los Angeles Clippers,113,Utah Jazz
Portland Trail Blazers,117,Dallas Mavericks,108,Portland Trail Blazers
Boston Celtics,95,Orlando Magic,103,Boston Celtics
Los Angeles Lakers,127,New York Knicks,107,Los Angeles Lakers
Detroit Pistons,100,Brooklyn Nets,101,Detroit Pistons
San Antonio Spurs,86,Indiana Pacers,94,San Antonio Spurs
Charlotte Hornets,112,Sacramento Kings,107,Charlotte Hornets
Atlanta Hawks,104,Utah Jazz,90,Atlanta Hawks
Houston Rockets,99,Miami Heat,90,Houston Rockets
Memphis Grizzlies,105,Philadelphia 76ers,101,Memphis Grizzlies
Milwaukee Bucks,109,Phoenix Suns,105,Milwaukee Bucks
New Orleans Pelicans,132,Chicago Bulls,128,New Orleans Pelicans
Dallas Mavericks,98,Washington Wizards,75,Dallas Mavericks
Denver Nuggets,104,Portland Trail Blazers,101,Denver Nuggets
Los Angeles Clippers,118,Minnesota Timberwolves,126,Los Angeles Clippers
Orlando Magic,99,Sacramento Kings,105,Orlando Magic
Oklahoma City Thunder,109,Brooklyn Nets,108,Oklahoma City Thunder
San Antonio Spurs,114,Cleveland Cavaliers,102,San Antonio Spurs
Golden State Warriors,123,New York Knicks,112,Golden State Warriors
Los Angeles Lakers,108,Boston Celtics,107,Los Angeles Lakers
Charlotte Hornets,96,New Orleans Pelicans,101,Charlotte Hornets
Detroit Pistons,95,Utah Jazz,98,Detroit Pistons
Indiana Pacers,116,Phoenix Suns,101,Indiana Pacers
Philadelphia 76ers,115,Chicago Bulls,101,Philadelphia 76ers
Atlanta Hawks,93,Toronto Raptors,108,Atlanta Hawks
Dallas Mavericks,97,Houston Rockets,104,Dallas Mavericks
Memphis Grizzlies,85,San Antonio Spurs,108,Memphis Grizzlies
Portland Trail Blazers,123,Minnesota Timberwolves,114,Portland Trail Blazers
Los Angeles Clippers,102,Boston Celtics,113,Los Angeles Clippers
Miami Heat,88,Sacramento Kings,89,Miami Heat
Oklahoma City Thunder,121,Washington Wizards,112,Oklahoma City Thunder
Denver Nuggets,130,New York Knicks,118,Denver Nuggets
Golden State Warriors,126,Minnesota Timberwolves,113,Golden State Warriors
Charlotte Hornets,121,Atlanta Hawks,110,Charlotte Hornets
Cleveland Cavaliers,115,Indiana Pacers,108,Cleveland Cavaliers
Toronto Raptors,93,Utah Jazz,97,Toronto Raptors
Chicago Bulls,103,Los Angeles Lakers,108,Chicago Bulls
Memphis Grizzlies,100,Los Angeles Clippers,109,Memphis Grizzlies
Milwaukee Bucks,116,Brooklyn Nets,91,Milwaukee Bucks
New Orleans Pelicans,115,Houston Rockets,113,New Orleans Pelicans
Dallas Mavericks,93,Portland Trail Blazers,107,Dallas Mavericks
San Antonio Spurs,78,Philadelphia 76ers,97,San Antonio Spurs
Phoenix Suns,85,New York Knicks,107,Phoenix Suns
Detroit Pistons,108,Oklahoma City Thunder,121,Detroit Pistons
Indiana Pacers,114,Orlando Magic,112,Indiana Pacers
Atlanta Hawks,104,Washington Wizards,129,Atlanta Hawks
Miami Heat,95,Charlotte Hornets,91,Miami Heat
Golden State Warriors,109,Boston Celtics,105,Golden State Warriors
Denver Nuggets,91,Dallas Mavericks,89,Denver Nuggets
Minnesota Timberwolves,111,Brooklyn Nets,97,Minnesota Timberwolves
Chicago Bulls,96,Milwaukee Bucks,110,Chicago Bulls
Houston Rockets,113,Phoenix Suns,102,Houston Rockets
New Orleans Pelicans,103,Los Angeles Clippers,112,New Orleans Pelicans
Cleveland Cavaliers,121,Detroit Pistons,104,Cleveland Cavaliers
Oklahoma City Thunder,122,Philadelphia 76ers,112,Oklahoma City Thunder
Toronto Raptors,123,Los Angeles Lakers,111,Toronto Raptors
San Antonio Spurs,113,Sacramento Kings,98,San Antonio Spurs
Indiana Pacers,105,Charlotte Hornets,96,Indiana Pacers
Atlanta Hawks,105,Minnesota Timberwolves,100,Atlanta Hawks
Memphis Grizzlies,120,Phoenix Suns,109,Memphis Grizzlies
Milwaukee Bucks,107,Philadelphia 76ers,95,Milwaukee Bucks
Dallas Mavericks,88,Miami Heat,95,Dallas Mavericks
Denver Nuggets,110,Boston Celtics,111,Denver Nuggets
Washington Wizards,102,Oklahoma City Thunder,96,Washington Wizards
New York Knicks,111,Brooklyn Nets,95,New York Knicks
Toronto Raptors,109,Minnesota Timberwolves,104,Toronto Raptors
Detroit Pistons,125,Cleveland Cavaliers,114,Detroit Pistons
Houston Rockets,114,Orlando Magic,107,Houston Rockets
New Orleans Pelicans,103,Sacramento Kings,114,New Orleans Pelicans
San Antonio Spurs,106,Denver Nuggets,104,San Antonio Spurs
Utah Jazz,129,Golden State Warriors,99,Utah Jazz
Los Angeles Clippers,96,Portland Trail Blazers,104,Los Angeles Clippers
Indiana Pacers,105,Memphis Grizzlies,101,Indiana Pacers
Orlando Magic,127,Los Angeles Lakers,105,Orlando Magic
Atlanta Hawks,110,Charlotte Hornets,123,Atlanta Hawks
Brooklyn Nets,116,Philadelphia 76ers,108,Brooklyn Nets
Cleveland Cavaliers,91,Miami Heat,89,Cleveland Cavaliers
Boston Celtics,103,New York Knicks,73,Boston Celtics
Portland Trail Blazers,124,Chicago Bulls,108,Portland Trail Blazers
Phoenix Suns,102,Dallas Mavericks,88,Phoenix Suns
Detroit Pistons,104,Memphis Grizzlies,102,Detroit Pistons
Washington Wizards,122,Toronto Raptors,119,Washington Wizards
Minnesota Timberwolves,108,Milwaukee Bucks,89,Minnesota Timberwolves
San Antonio Spurs,91,Houston Rockets,102,San Antonio Spurs
Denver Nuggets,127,Oklahoma City Thunder,124,Denver Nuggets
Charlotte Hornets,133,Indiana Pacers,126,Charlotte Hornets
Boston Celtics,119,Atlanta Hawks,110,Boston Celtics
Brooklyn Nets,99,Los Angeles Lakers,102,Brooklyn Nets
Toronto Raptors,130,Portland Trail Blazers,105,Toronto Raptors
Milwaukee Bucks,92,New York Knicks,90,Milwaukee Bucks
Philadelphia 76ers,103,Miami Heat,97,Philadelphia 76ers
Oklahoma City Thunder,100,New Orleans Pelicans,114,Oklahoma City Thunder
Phoenix Suns,97,Utah Jazz,129,Phoenix Suns
Sacramento Kings,104,Golden State Warriors,119,Sacramento Kings
Los Angeles Clippers,113,Chicago Bulls,103,Los Angeles Clippers
Detroit Pistons,111,Miami Heat,107,Detroit Pistons
Indiana Pacers,100,Philadelphia 76ers,92,Indiana Pacers
Orlando Magic,98,Washington Wizards,115,Orlando Magic
Cleveland Cavaliers,88,Houston Rockets,120,Cleveland Cavaliers
Denver Nuggets,115,Golden State Warriors,108,Denver Nuggets
Minnesota Timberwolves,118,New Orleans Pelicans,107,Minnesota Timberwolves
San Antonio Spurs,111,Utah Jazz,120,San Antonio Spurs
Sacramento Kings,99,Dallas Mavericks,106,Sacramento Kings
Boston Celtics,97,Portland Trail Blazers,96,Boston Celtics
Brooklyn Nets,94,Milwaukee Bucks,109,Brooklyn Nets
New York Knicks,96,Atlanta Hawks,99,New York Knicks
Toronto Raptors,101,Memphis Grizzlies,86,Toronto Raptors
Oklahoma City Thunder,104,Los Angeles Lakers,108,Oklahoma City Thunder
Phoenix Suns,110,Charlotte Hornets,115,Phoenix Suns
Detroit Pistons,111,Portland Trail Blazers,91,Detroit Pistons
Indiana Pacers,102,Washington Wizards,111,Indiana Pacers
Miami Heat,109,Orlando Magic,111,Miami Heat
New Orleans Pelicans,109,Utah Jazz,133,New Orleans Pelicans
Denver Nuggets,121,Charlotte Hornets,104,Denver Nuggets
Sacramento Kings,104,Chicago Bulls,98,Sacramento Kings
Los Angeles Clippers,104,Dallas Mavericks,101,Los Angeles Clippers
Orlando Magic,116,Cleveland Cavaliers,98,Orlando Magic
Atlanta Hawks,108,Memphis Grizzlies,82,Atlanta Hawks
Brooklyn Nets,113,Houston Rockets,123,Brooklyn Nets
New York Knicks,89,Milwaukee Bucks,103,New York Knicks
Toronto Raptors,111,Boston Celtics,91,Toronto Raptors
Philadelphia 76ers,115,Washington Wizards,102,Philadelphia 76ers
Golden State Warriors,105,Oklahoma City Thunder,125,Golden State Warriors
Los Angeles Lakers,112,Phoenix Suns,93,Los Angeles Lakers
Detroit Pistons,115,Brooklyn Nets,106,Detroit Pistons
Miami Heat,101,Houston Rockets,109,Miami Heat
Cleveland Cavaliers,140,Minnesota Timberwolves,138,Cleveland Cavaliers
Memphis Grizzlies,88,Utah Jazz,92,Memphis Grizzlies
Phoenix Suns,81,San Antonio Spurs,129,Phoenix Suns
Orlando Magic,100,Atlanta Hawks,98,Orlando Magic
Toronto Raptors,113,New York Knicks,88,Toronto Raptors
Washington Wizards,104,Boston Celtics,110,Washington Wizards
Portland Trail Blazers,109,Charlotte Hornets,103,Portland Trail Blazers
Golden State Warriors,121,Dallas Mavericks,103,Golden State Warriors
Los Angeles Lakers,106,Oklahoma City Thunder,81,Los Angeles Lakers
Detroit Pistons,95,Los Angeles Clippers,108,Detroit Pistons
Philadelphia 76ers,100,New Orleans Pelicans,82,Philadelphia 76ers
Atlanta Hawks,107,Cleveland Cavaliers,123,Atlanta Hawks
Boston Celtics,91,Indiana Pacers,97,Boston Celtics
Houston Rockets,130,Denver Nuggets,104,Houston Rockets
Miami Heat,91,Milwaukee Bucks,85,Miami Heat
Utah Jazz,106,Charlotte Hornets,94,Utah Jazz
Chicago Bulls,114,Minnesota Timberwolves,113,Chicago Bulls
Sacramento Kings,100,Portland Trail Blazers,118,Sacramento Kings
Brooklyn Nets,128,New Orleans Pelicans,138,Brooklyn Nets
Orlando Magic,104,Milwaukee Bucks,111,Orlando Magic
Philadelphia 76ers,112,Los Angeles Clippers,98,Philadelphia 76ers
Chicago Bulls,90,Washington Wizards,101,Chicago Bulls
Dallas Mavericks,130,Los Angeles Lakers,123,Dallas Mavericks
Golden State Warriors,122,San Antonio Spurs,105,Golden State Warriors
Phoenix Suns,113,Denver Nuggets,123,Phoenix Suns
Charlotte Hornets,103,Toronto Raptors,123,Charlotte Hornets
