Team 1,Team 1 Points,Team 2,Team 2 Points,Home Team
Utah Jazz,94,Boston Celtics,97,Utah Jazz
Phoenix Suns,99,Los Angeles Clippers,111,Phoenix Suns
Los Angeles Lakers,103,Dallas Mavericks,93,Los Angeles Lakers
Detroit Pistons,103,Washington Wizards,92,Detroit Pistons
Miami Heat,103,Chicago Bulls,92,Miami Heat
San Antonio Spurs,103,Oklahoma City Thunder,99,San Antonio Spurs
Sacramento Kings,103,Indiana Pacers,106,Sacramento Kings
Golden State Warriors,107,Milwaukee Bucks,116,Golden State Warriors
Orlando Magic,82,Chicago Bulls,90,Orlando Magic
Atlanta Hawks,91,Philadelphia 76ers,101,Atlanta Hawks
Cleveland Cavaliers,107,New Orleans Pelicans,102,Cleveland Cavaliers
Houston Rockets,104,Phoenix Suns,103,Houston Rockets
Oklahoma City Thunder,125,Denver Nuggets,126,Oklahoma City Thunder
Dallas Mavericks,92,Minnesota Timberwolves,93,Dallas Mavericks
Utah Jazz,107,Memphis Grizzlies,97,Utah Jazz
Los Angeles Lakers,122,Milwaukee Bucks,124,Los Angeles Lakers
Portland Trail Blazers,105,Los Angeles Clippers,96,Portland Trail Blazers
Washington Wizards,107,Charlotte Hornets,93,Washington Wizards
New York Knicks,109,Detroit Pistons,115,New York Knicks
Boston Celtics,110,Toronto Raptors,99,Boston Celtics
Miami Heat,109,Brooklyn Nets,110,Miami Heat
Sacramento Kings,96,Golden State Warriors,112,Sacramento Kings
Charlotte Hornets,102,Philadelphia 76ers,119,Charlotte Hornets
Chicago Bulls,113,Washington Wizards,94,Chicago Bulls
Los Angeles Clippers,104,Indiana Pacers,111,Los Angeles Clippers
San Antonio Spurs,100,Houston Rockets,83,San Antonio Spurs
Atlanta Hawks,94,Orlando Magic,88,Atlanta Hawks
Brooklyn Nets,96,Detroit Pistons,108,Brooklyn Nets
Cleveland Cavaliers,98,Dallas Mavericks,87,Cleveland Cavaliers
New Orleans Pelicans,104,Oklahoma City Thunder,109,New Orleans Pelicans
Minnesota Timberwolves,97,Utah Jazz,121,Minnesota Timberwolves
Denver Nuggets,128,Milwaukee Bucks,125,Denver Nuggets
Golden State Warriors,117,Phoenix Suns,107,Golden State Warriors
Portland Trail Blazers,113,Memphis Grizzlies,98,Portland Trail Blazers
Los Angeles Lakers,83,Sacramento Kings,84,Los Angeles Lakers
Cleveland Cavaliers,112,Toronto Raptors,106,Cleveland Cavaliers
Philadelphia 76ers,121,Brooklyn Nets,95,Philadelphia 76ers
Miami Heat,101,Atlanta Hawks,98,Miami Heat
New York Knicks,73,Orlando Magic,97,New York Knicks
Chicago Bulls,120,Charlotte Hornets,114,Chicago Bulls
Houston Rockets,120,Washington Wizards,104,Houston Rockets
Milwaukee Bucks,106,Boston Celtics,102,Milwaukee Bucks
Oklahoma City Thunder,107,Golden State Warriors,111,Oklahoma City Thunder
Dallas Mavericks,115,Portland Trail Blazers,109,Dallas Mavericks
Denver Nuggets,107,Indiana Pacers,104,Denver Nuggets
Utah Jazz,117,Los Angeles Lakers,110,Utah Jazz
Phoenix Suns,97,Sacramento Kings,94,Phoenix Suns
Los Angeles Clippers,113,San Antonio Spurs,110,Los Angeles Clippers
Detroit Pistons,108,Philadelphia 76ers,115,Detroit Pistons
Orlando Magic,105,Dallas Mavericks,100,Orlando Magic
Atlanta Hawks,86,Miami Heat,115,Atlanta Hawks
New Orleans Pelicans,123,Memphis Grizzlies,95,New Orleans Pelicans
Toronto Raptors,96,Boston Celtics,78,Toronto Raptors
Los Angeles Lakers,122,San Antonio Spurs,112,Los Angeles Lakers
Indiana Pacers,126,Golden State Warriors,106,Indiana Pacers
Cleveland Cavaliers,119,Washington Wizards,115,Cleveland Cavaliers
Houston Rockets,96,Portland Trail Blazers,94,Houston Rockets
Milwaukee Bucks,111,Brooklyn Nets,119,Milwaukee Bucks
Utah Jazz,117,Los Angeles Clippers,95,Utah Jazz
Denver Nuggets,100,Minnesota Timberwolves,96,Denver Nuggets
Detroit Pistons,113,Dallas Mavericks,106,Detroit Pistons
Orlando Magic,100,Charlotte Hornets,137,Orlando Magic
Philadelphia 76ers,132,Cleveland Cavaliers,130,Philadelphia 76ers
Washington Wizards,97,Atlanta Hawks,103,Washington Wizards
Boston Celtics,111,Chicago Bulls,104,Boston Celtics
New York Knicks,122,Miami Heat,98,New York Knicks
Toronto Raptors,92,Indiana Pacers,73,Toronto Raptors
Memphis Grizzlies,93,Sacramento Kings,94,Memphis Grizzlies
Phoenix Suns,103,New Orleans Pelicans,122,Phoenix Suns
Los Angeles Lakers,96,Minnesota Timberwolves,113,Los Angeles Lakers
Los Angeles Clippers,115,Denver Nuggets,134,Los Angeles Clippers
New York Knicks,102,Milwaukee Bucks,115,New York Knicks
Chicago Bulls,96,Brooklyn Nets,124,Chicago Bulls
Golden State Warriors,120,New Orleans Pelicans,126,Golden State Warriors
Houston Rockets,102,Oklahoma City Thunder,108,Houston Rockets
San Antonio Spurs,116,Portland Trail Blazers,105,San Antonio Spurs
Boston Celtics,106,Atlanta Hawks,112,Boston Celtics
Charlotte Hornets,117,Indiana Pacers,123,Charlotte Hornets
Philadelphia 76ers,109,Dallas Mavericks,97,Philadelphia 76ers
