Home,Home Points,Visitor,Visitor Points
Denver Nuggets,95,Miami Heat,98
Houston Rockets,77,Cleveland Cavaliers,91
Charlotte Hornets,92,Milwaukee Bucks,105
Atlanta Hawks,114,Brooklyn Nets,86
Detroit Pistons,113,Golden State Warriors,95
Philadelphia 76ers,114,Portland Trail Blazers,89
Washington Wizards,117,Boston Celtics,119
Memphis Grizzlies,103,New York Knicks,95
Utah Jazz,109,Los Angeles Lakers,82
Los Angeles Clippers,103,Sacramento Kings,110
Minnesota Timberwolves,117,Phoenix Suns,87
Oklahoma City Thunder,99,Miami Heat,74
San Antonio Spurs,112,Dallas Mavericks,83
Denver Nuggets,129,Indiana Pacers,126
Los Angeles Lakers,95,Houston Rockets,112
New York Knicks,119,Philadelphia 76ers,113
Charlotte Hornets,124,Utah Jazz,119
Washington Wizards,98,Portland Trail Blazers,108
Memphis Grizzlies,101,New Orleans Pelicans,99
Detroit Pistons,101,Chicago Bulls,111
Atlanta Hawks,98,Orlando Magic,81
Toronto Raptors,112,Brooklyn Nets,100
Cleveland Cavaliers,98,Golden State Warriors,132
Dallas Mavericks,118,Boston Celtics,113
Los Angeles Clippers,140,Houston Rockets,132
Miami Heat,79,Milwaukee Bucks,91
New Orleans Pelicans,114,Minnesota Timberwolves,99
Denver Nuggets,104,Oklahoma City Thunder,110
Phoenix Suns,94,Indiana Pacers,97
Orlando Magic,87,Philadelphia 76ers,96
Washington Wizards,106,Miami Heat,87
Brooklyn Nets,78,Cleveland Cavaliers,91
New York Knicks,118,Utah Jazz,111
Toronto Raptors,115,Boston Celtics,109
Chicago Bulls,94,Golden State Warriors,125
Houston Rockets,114,Detroit Pistons,123
Oklahoma City Thunder,109,Charlotte Hornets,95
Dallas Mavericks,106,Minnesota Timberwolves,94
Los Angeles Lakers,93,Sacramento Kings,112
Portland Trail Blazers,98,Atlanta Hawks,104
Cleveland Cavaliers,115,Los Angeles Clippers,102
New Orleans Pelicans,115,Detroit Pistons,99
Denver Nuggets,101,Memphis Grizzlies,102
Sacramento Kings,91,Atlanta Hawks,88
Phoenix Suns,89,San Antonio Spurs,117
Orlando Magic,116,Charlotte Hornets,120
Boston Celtics,110,Chicago Bulls,101
Brooklyn Nets,86,Utah Jazz,108
New York Knicks,88,Los Angeles Clippers,116
Houston Rockets,102,Milwaukee Bucks,98
Toronto Raptors,101,Miami Heat,81
Dallas Mavericks,106,Oklahoma City Thunder,109
Golden State Warriors,122,Indiana Pacers,110
Los Angeles Lakers,95,San Antonio Spurs,108
Charlotte Hornets,97,New York Knicks,84
New Orleans Pelicans,116,Milwaukee Bucks,99
Minnesota Timberwolves,106,Memphis Grizzlies,101
Cleveland Cavaliers,83,Chicago Bulls,96
Phoenix Suns,98,Atlanta Hawks,95
Denver Nuggets,104,Detroit Pistons,101
Portland Trail Blazers,121,Los Angeles Lakers,103
Sacramento Kings,108,Indiana Pacers,97
Houston Rockets,115,Dallas Mavericks,104
Toronto Raptors,112,Los Angeles Clippers,94
Philadelphia 76ers,92,Boston Celtics,112
Brooklyn Nets,116,Oklahoma City Thunder,106
Cleveland Cavaliers,114,Minnesota Timberwolves,107
Washington Wizards,91,Boston Celtics,116
Chicago Bulls,84,Miami Heat,89
Memphis Grizzlies,108,Orlando Magic,102
New Orleans Pelicans,111,Houston Rockets,112
Denver Nuggets,105,Atlanta Hawks,119
Utah Jazz,92,Detroit Pistons,95
Sacramento Kings,128,Charlotte Hornets,129
Golden State Warriors,120,San Antonio Spurs,90
Indiana Pacers,89,Los Angeles Clippers,91
Philadelphia 76ers,113,Phoenix Suns,103
Brooklyn Nets,98,Miami Heat,102
New York Knicks,122,Oklahoma City Thunder,128
Toronto Raptors,106,Washington Wizards,89
Milwaukee Bucks,107,Orlando Magic,100
Portland Trail Blazers,112,Sacramento Kings,97
Los Angeles Lakers,90,Dallas Mavericks,92
Cleveland Cavaliers,115,Phoenix Suns,93
Boston Celtics,111,Denver Nuggets,103
Detroit Pistons,110,Philadelphia 76ers,97
Atlanta Hawks,83,Los Angeles Clippers,85
Minnesota Timberwolves,123,Oklahoma City Thunder,126
San Antonio Spurs,130,Houston Rockets,99
Utah Jazz,102,Charlotte Hornets,73
Golden State Warriors,127,Dallas Mavericks,107
Indiana Pacers,111,Atlanta Hawks,92
Washington Wizards,113,Denver Nuggets,117
Memphis Grizzlies,103,Milwaukee Bucks,83
New Orleans Pelicans,114,Sacramento Kings,105
Toronto Raptors,103,New York Knicks,93
Los Angeles Lakers,91,Chicago Bulls,114
Boston Celtics,113,Orlando Magic,94
Detroit Pistons,106,Cleveland Cavaliers,114
New York Knicks,102,Phoenix Suns,84
Milwaukee Bucks,103,Miami Heat,107
Oklahoma City Thunder,116,Houston Rockets,108
Dallas Mavericks,91,Brooklyn Nets,79
Utah Jazz,103,Minnesota Timberwolves,90
Portland Trail Blazers,109,Charlotte Hornets,91
Los Angeles Clippers,105,Los Angeles Lakers,93
Philadelphia 76ers,105,Golden State Warriors,108
Toronto Raptors,111,Detroit Pistons,107
Indiana Pacers,109,Denver Nuggets,105
New Orleans Pelicans,105,Brooklyn Nets,103
Houston Rockets,122,Washington Wizards,123
Memphis Grizzlies,121,Sacramento Kings,117
Cleveland Cavaliers,117,San Antonio Spurs,103
Los Angeles Clippers,120,Chicago Bulls,93
Miami Heat,105,Atlanta Hawks,87
Orlando Magic,119,Boston Celtics,114
Dallas Mavericks,91,Phoenix Suns,78
New York Knicks,95,Golden State Warriors,116
Portland Trail Blazers,96,Minnesota Timberwolves,93
Los Angeles Lakers,82,Charlotte Hornets,101
Indiana Pacers,106,Cleveland Cavaliers,111
Brooklyn Nets,100,Detroit Pistons,105
Atlanta Hawks,112,Dallas Mavericks,97
New Orleans Pelicans,95,Memphis Grizzlies,110
Oklahoma City Thunder,114,Washington Wizards,98
San Antonio Spurs,107,Orlando Magic,92
Denver Nuggets,112,Toronto Raptors,93
Utah Jazz,105,Chicago Bulls,96
Sacramento Kings,111,Milwaukee Bucks,104
New York Knicks,89,Boston Celtics,97
Houston Rockets,115,Miami Heat,102
Phoenix Suns,97,Toronto Raptors,104
Portland Trail Blazers,107,Milwaukee Bucks,95
Los Angeles Lakers,119,Minnesota Timberwolves,115
Charlotte Hornets,106,Cleveland Cavaliers,97
Philadelphia 76ers,86,Atlanta Hawks,124
Boston Celtics,102,Detroit Pistons,95
Brooklyn Nets,100,Indiana Pacers,114
Oklahoma City Thunder,117,Orlando Magic,114
Washington Wizards,121,Golden State Warriors,134
Dallas Mavericks,90,Miami Heat,93
San Antonio Spurs,110,New Orleans Pelicans,97
Utah Jazz,85,Denver Nuggets,81
Sacramento Kings,102,Chicago Bulls,107
Los Angeles Clippers,102,Minnesota Timberwolves,108
Detroit Pistons,111,New York Knicks,105
Phoenix Suns,105,Houston Rockets,111
New Orleans Pelicans,96,Los Angeles Lakers,99
Portland Trail Blazers,103,Toronto Raptors,110
Atlanta Hawks,102,Indiana Pacers,96
Charlotte Hornets,95,Miami Heat,98
Orlando Magic,93,Los Angeles Clippers,107
Washington Wizards,106,Philadelphia 76ers,94
Brooklyn Nets,128,Sacramento Kings,119
Cleveland Cavaliers,103,Boston Celtics,104
New York Knicks,85,Memphis Grizzlies,91
Denver Nuggets,115,Chicago Bulls,110
Utah Jazz,84,Milwaukee Bucks,81
Dallas Mavericks,90,San Antonio Spurs,116
Houston Rockets,79,Portland Trail Blazers,96
Charlotte Hornets,108,Washington Wizards,104
Indiana Pacers,112,Detroit Pistons,104
Cleveland Cavaliers,99,New Orleans Pelicans,84
Philadelphia 76ers,103,Brooklyn Nets,98
Memphis Grizzlies,110,Dallas Mavericks,114
Minnesota Timberwolves,112,Chicago Bulls,105
San Antonio Spurs,106,Los Angeles Lakers,102
Golden State Warriors,116,Oklahoma City Thunder,108
Phoenix Suns,89,Utah Jazz,98
Boston Celtics,128,Sacramento Kings,119
New York Knicks,96,Denver Nuggets,101
Orlando Magic,96,Atlanta Hawks,94
Miami Heat,93,Los Angeles Clippers,100
Charlotte Hornets,108,Chicago Bulls,91
Cleveland Cavaliers,120,Sacramento Kings,100
Indiana Pacers,89,Los Angeles Lakers,87
Philadelphia 76ers,92,Los Angeles Clippers,98
Brooklyn Nets,105,Denver Nuggets,104
Detroit Pistons,89,Toronto Raptors,103
Atlanta Hawks,110,Orlando Magic,117
Memphis Grizzlies,106,Portland Trail Blazers,112
Minnesota Timberwolves,102,New Orleans Pelicans,116
Phoenix Suns,106,Oklahoma City Thunder,122
Miami Heat,101,San Antonio Spurs,119
Milwaukee Bucks,112,Boston Celtics,111
New York Knicks,108,Washington Wizards,111
Dallas Mavericks,119,Utah Jazz,121
Golden State Warriors,123,Houston Rockets,110
Indiana Pacers,95,Charlotte Hornets,117
Orlando Magic,96,San Antonio Spurs,98
Philadelphia 76ers,110,Sacramento Kings,114
Boston Celtics,139,Los Angeles Clippers,134
Brooklyn Nets,90,Memphis Grizzlies,109
Detroit Pistons,92,Denver Nuggets,103
Chicago Bulls,90,Atlanta Hawks,113
Cleveland Cavaliers,120,Los Angeles Lakers,111
Minnesota Timberwolves,117,Toronto Raptors,112
New Orleans Pelicans,100,Utah Jazz,96
Phoenix Suns,104,Golden State Warriors,112
Portland Trail Blazers,116,Houston Rockets,103
Milwaukee Bucks,99,Washington Wizards,92
Oklahoma City Thunder,121,New Orleans Pelicans,95
Washington Wizards,103,Utah Jazz,89
Cleveland Cavaliers,106,Chicago Bulls,95
Los Angeles Clippers,105,San Antonio Spurs,86
Orlando Magic,110,Dallas Mavericks,104
Washington Wizards,98,Detroit Pistons,86
Brooklyn Nets,109,New York Knicks,98
Atlanta Hawks,111,Miami Heat,115
Chicago Bulls,116,Toronto Raptors,106
Memphis Grizzlies,109,Minnesota Timberwolves,104
Milwaukee Bucks,95,Charlotte Hornets,98
New Orleans Pelicans,121,Philadelphia 76ers,114
Oklahoma City Thunder,98,Indiana Pacers,101
Phoenix Suns,100,Houston Rockets,116
Portland Trail Blazers,137,Golden State Warriors,105
Sacramento Kings,116,Denver Nuggets,110
Los Angeles Lakers,113,San Antonio Spurs,119
Utah Jazz,111,Boston Celtics,93
Atlanta Hawks,109,Milwaukee Bucks,117
Miami Heat,114,Washington Wizards,94
Minnesota Timberwolves,95,New York Knicks,103
Los Angeles Clippers,112,Golden State Warriors,115
Detroit Pistons,106,New Orleans Pelicans,111
Oklahoma City Thunder,92,Cleveland Cavaliers,115
Denver Nuggets,101,Boston Celtics,121
Phoenix Suns,111,San Antonio Spurs,118
Brooklyn Nets,96,Charlotte Hornets,104
Orlando Magic,102,Indiana Pacers,105
Toronto Raptors,98,Memphis Grizzlies,85
Dallas Mavericks,129,Philadelphia 76ers,103
Chicago Bulls,126,Los Angeles Lakers,115
Portland Trail Blazers,115,Utah Jazz,111
Cleveland Cavaliers,88,Detroit Pistons,96
Miami Heat,101,Indiana Pacers,93
New York Knicks,95,Toronto Raptors,122
Atlanta Hawks,92,Golden State Warriors,102
Milwaukee Bucks,108,Los Angeles Lakers,101
Minnesota Timberwolves,124,Boston Celtics,122
Los Angeles Clippers,124,Phoenix Suns,84
Philadelphia 76ers,115,Orlando Magic,124
Washington Wizards,109,New Orleans Pelicans,89
Denver Nuggets,110,Sacramento Kings,114
Utah Jazz,117,Houston Rockets,114
Portland Trail Blazers,112,Brooklyn Nets,104
Cleveland Cavaliers,114,Charlotte Hornets,103
Indiana Pacers,108,New York Knicks,105
Detroit Pistons,111,Philadelphia 76ers,91
Miami Heat,112,Golden State Warriors,118
Toronto Raptors,114,Minnesota Timberwolves,105
Chicago Bulls,109,Washington Wizards,104
Memphis Grizzlies,128,Los Angeles Lakers,119
Dallas Mavericks,103,Oklahoma City Thunder,116
Los Angeles Clippers,81,Denver Nuggets,87
Sacramento Kings,92,San Antonio Spurs,108
Orlando Magic,114,Golden State Warriors,130
Boston Celtics,112,Milwaukee Bucks,107
New Orleans Pelicans,123,Oklahoma City Thunder,119
Phoenix Suns,106,Brooklyn Nets,116
Portland Trail Blazers,105,Houston Rockets,119
Utah Jazz,78,San Antonio Spurs,96
Indiana Pacers,95,Charlotte Hornets,96
Philadelphia 76ers,94,Washington Wizards,103
New York Knicks,108,Orlando Magic,95
Toronto Raptors,99,Cleveland Cavaliers,97
Atlanta Hawks,103,Chicago Bulls,88
Dallas Mavericks,122,Denver Nuggets,116
Sacramento Kings,107,Los Angeles Clippers,117
Los Angeles Lakers,95,Memphis Grizzlies,112
Boston Celtics,101,Miami Heat,89
New Orleans Pelicans,110,Minnesota Timberwolves,112
Chicago Bulls,95,Portland Trail Blazers,103
Houston Rockets,94,San Antonio Spurs,104
Milwaukee Bucks,91,Detroit Pistons,102
Oklahoma City Thunder,118,Golden State Warriors,121
Phoenix Suns,111,Memphis Grizzlies,106
Utah Jazz,96,Brooklyn Nets,98
Washington Wizards,113,Cleveland Cavaliers,99
Atlanta Hawks,87,Charlotte Hornets,76
Detroit Pistons,114,Toronto Raptors,101
Indiana Pacers,102,Portland Trail Blazers,111
Orlando Magic,130,Philadelphia 76ers,116
Dallas Mavericks,128,Minnesota Timberwolves,101
New York Knicks,81,Miami Heat,98
Cleveland Cavaliers,100,Indiana Pacers,96
Washington Wizards,116,Philadelphia 76ers,108
Boston Celtics,100,Utah Jazz,95
Milwaukee Bucks,128,Houston Rockets,121
Denver Nuggets,96,Memphis Grizzlies,103
Sacramento Kings,116,Oklahoma City Thunder,131
Los Angeles Clippers,105,Brooklyn Nets,95
Charlotte Hornets,126,Phoenix Suns,92
Miami Heat,129,Chicago Bulls,111
New York Knicks,85,Portland Trail Blazers,104
Dallas Mavericks,121,Orlando Magic,108
Golden State Warriors,109,Atlanta Hawks,105
Los Angeles Lakers,107,Brooklyn Nets,101
Orlando Magic,102,Chicago Bulls,89
Philadelphia 76ers,99,Charlotte Hornets,119
Boston Celtics,116,Portland Trail Blazers,93
Toronto Raptors,104,Utah Jazz,94
Houston Rockets,100,New Orleans Pelicans,95
Memphis Grizzlies,104,Sacramento Kings,98
Milwaukee Bucks,99,Indiana Pacers,104
Minnesota Timberwolves,98,Washington Wizards,104
San Antonio Spurs,97,Detroit Pistons,81
Denver Nuggets,117,Los Angeles Lakers,107
Los Angeles Clippers,103,Oklahoma City Thunder,98
Miami Heat,108,Phoenix Suns,92
New Orleans Pelicans,86,San Antonio Spurs,94
Dallas Mavericks,101,Sacramento Kings,104
Golden State Warriors,121,Oklahoma City Thunder,106
Charlotte Hornets,108,Indiana Pacers,101
Orlando Magic,84,Phoenix Suns,102
Philadelphia 76ers,102,Miami Heat,112
Boston Celtics,105,New York Knicks,104
Toronto Raptors,117,Portland Trail Blazers,115
Cleveland Cavaliers,108,Washington Wizards,83
Memphis Grizzlies,94,Utah Jazz,88
Milwaukee Bucks,116,Minnesota Timberwolves,101
Denver Nuggets,120,Brooklyn Nets,121
Los Angeles Lakers,77,Atlanta Hawks,106
Cleveland Cavaliers,120,Boston Celtics,103
New Orleans Pelicans,94,Utah Jazz,106
New York Knicks,102,Detroit Pistons,89
Washington Wizards,99,Indiana Pacers,100
Minnesota Timberwolves,132,Brooklyn Nets,118
Chicago Bulls,108,Houston Rockets,100
San Antonio Spurs,104,Sacramento Kings,94
Los Angeles Clippers,97,Atlanta Hawks,107
Los Angeles Lakers,112,Golden State Warriors,95
Milwaukee Bucks,96,Oklahoma City Thunder,104
Memphis Grizzlies,100,Phoenix Suns,109
Denver Nuggets,116,Dallas Mavericks,114
Detroit Pistons,123,Portland Trail Blazers,103
Miami Heat,103,Philadelphia 76ers,98
Toronto Raptors,107,Houston Rockets,113
Charlotte Hornets,108,Minnesota Timberwolves,103
Cleveland Cavaliers,103,Memphis Grizzlies,106
Indiana Pacers,99,San Antonio Spurs,91
Chicago Bulls,100,Milwaukee Bucks,90
New Orleans Pelicans,115,Sacramento Kings,112
Dallas Mavericks,90,Los Angeles Clippers,109
Golden State Warriors,119,Orlando Magic,113
Toronto Raptors,104,Brooklyn Nets,99
Minnesota Timberwolves,91,San Antonio Spurs,116
Denver Nuggets,110,New York Knicks,94
Utah Jazz,84,Atlanta Hawks,91
Portland Trail Blazers,116,Washington Wizards,109
Los Angeles Lakers,107,Orlando Magic,98
Boston Celtics,116,Memphis Grizzlies,96
Charlotte Hornets,122,New Orleans Pelicans,113
Philadelphia 76ers,104,Houston Rockets,118
Milwaukee Bucks,114,Miami Heat,108
Dallas Mavericks,96,Detroit Pistons,102
Phoenix Suns,97,New York Knicks,128
Oklahoma City Thunder,120,Los Angeles Clippers,108
Sacramento Kings,111,Cleveland Cavaliers,120
Golden State Warriors,115,Utah Jazz,94
Toronto Raptors,104,Atlanta Hawks,96
San Antonio Spurs,109,Chicago Bulls,101
Denver Nuggets,116,Phoenix Suns,98
Los Angeles Lakers,108,Cleveland Cavaliers,120
Charlotte Hornets,118,Detroit Pistons,103
Philadelphia 76ers,95,Brooklyn Nets,89
Boston Celtics,98,Houston Rockets,102
Chicago Bulls,96,Miami Heat,118
Memphis Grizzlies,121,New Orleans Pelicans,114
Oklahoma City Thunder,96,Minnesota Timberwolves,99
Utah Jazz,114,Washington Wizards,93
Sacramento Kings,100,Orlando Magic,107
Golden State Warriors,128,Portland Trail Blazers,112
Los Angeles Clippers,101,New York Knicks,94
Dallas Mavericks,105,Indiana Pacers,112
Charlotte Hornets,125,Houston Rockets,109
Philadelphia 76ers,111,Detroit Pistons,125
Toronto Raptors,112,Miami Heat,104
Atlanta Hawks,95,Memphis Grizzlies,83
Milwaukee Bucks,103,New Orleans Pelicans,92
San Antonio Spurs,93,Oklahoma City Thunder,85
Denver Nuggets,116,Washington Wizards,100
Golden State Warriors,123,Phoenix Suns,116
Portland Trail Blazers,121,Orlando Magic,84
Los Angeles Clippers,90,Cleveland Cavaliers,114
Atlanta Hawks,104,Indiana Pacers,75
Sacramento Kings,99,Utah Jazz,108
Brooklyn Nets,100,Milwaukee Bucks,109
Los Angeles Lakers,87,New York Knicks,90
Charlotte Hornets,96,Dallas Mavericks,107
Miami Heat,124,Denver Nuggets,119
Toronto Raptors,107,Chicago Bulls,109
Houston Rockets,130,Memphis Grizzlies,81
Oklahoma City Thunder,128,Portland Trail Blazers,94
Washington Wizards,124,Detroit Pistons,81
Phoenix Suns,107,Minnesota Timberwolves,104
Golden State Warriors,125,New Orleans Pelicans,107
Utah Jazz,94,Cleveland Cavaliers,85
Indiana Pacers,103,Boston Celtics,98
Orlando Magic,116,Denver Nuggets,110
Brooklyn Nets,131,Philadelphia 76ers,114
Milwaukee Bucks,89,Toronto Raptors,107
San Antonio Spurs,108,Los Angeles Clippers,87
Los Angeles Lakers,98,Sacramento Kings,106
Boston Celtics,109,Oklahoma City Thunder,130
Charlotte Hornets,107,Orlando Magic,99
Cleveland Cavaliers,99,Dallas Mavericks,98
Washington Wizards,117,Chicago Bulls,96
Detroit Pistons,114,Atlanta Hawks,118
Memphis Grizzlies,108,Minnesota Timberwolves,114
Houston Rockets,106,Los Angeles Clippers,122
Sacramento Kings,108,New Orleans Pelicans,123
Golden State Warriors,121,New York Knicks,85
Indiana Pacers,94,Toronto Raptors,101
Philadelphia 76ers,94,Washington Wizards,99
Miami Heat,106,Charlotte Hornets,109
Atlanta Hawks,116,Denver Nuggets,98
Chicago Bulls,118,Brooklyn Nets,102
Milwaukee Bucks,96,Memphis Grizzlies,86
San Antonio Spurs,118,Portland Trail Blazers,110
Utah Jazz,103,Phoenix Suns,69
Orlando Magic,103,Cleveland Cavaliers,109
Philadelphia 76ers,97,Oklahoma City Thunder,111
Detroit Pistons,115,Sacramento Kings,108
Toronto Raptors,105,Boston Celtics,91
Houston Rockets,116,Minnesota Timberwolves,111
New Orleans Pelicans,112,Portland Trail Blazers,117
Dallas Mavericks,112,Golden State Warriors,130
Los Angeles Lakers,90,Phoenix Suns,95
Charlotte Hornets,93,Denver Nuggets,101
Detroit Pistons,115,Brooklyn Nets,103
Indiana Pacers,111,Oklahoma City Thunder,115
Washington Wizards,99,New York Knicks,89
Atlanta Hawks,109,Houston Rockets,97
Miami Heat,122,Cleveland Cavaliers,101
Chicago Bulls,92,Utah Jazz,85
Memphis Grizzlies,113,Los Angeles Clippers,102
San Antonio Spurs,87,Golden State Warriors,79
Dallas Mavericks,132,Portland Trail Blazers,120
Toronto Raptors,105,Orlando Magic,100
New Orleans Pelicans,109,Los Angeles Clippers,105
Philadelphia 76ers,105,Boston Celtics,120
Milwaukee Bucks,85,Utah Jazz,94
New York Knicks,80,Sacramento Kings,88
Charlotte Hornets,91,San Antonio Spurs,88
Cleveland Cavaliers,124,Denver Nuggets,91
Indiana Pacers,91,Philadelphia 76ers,75
Boston Celtics,107,Orlando Magic,96
Detroit Pistons,92,Milwaukee Bucks,91
Atlanta Hawks,102,Washington Wizards,117
Chicago Bulls,109,Sacramento Kings,102
Minnesota Timberwolves,104,Golden State Warriors,109
Phoenix Suns,97,Memphis Grizzlies,103
Brooklyn Nets,100,Charlotte Hornets,105
New Orleans Pelicans,99,Miami Heat,113
Oklahoma City Thunder,111,Houston Rockets,107
Los Angeles Lakers,107,Memphis Grizzlies,100
Cleveland Cavaliers,113,Milwaukee Bucks,104
Washington Wizards,101,Atlanta Hawks,122
Boston Celtics,91,Toronto Raptors,79
Detroit Pistons,118,Orlando Magic,102
Chicago Bulls,107,New York Knicks,115
Houston Rockets,87,Utah Jazz,89
Minnesota Timberwolves,113,Sacramento Kings,104
San Antonio Spurs,112,Miami Heat,88
Denver Nuggets,104,Philadelphia 76ers,103
Phoenix Suns,119,Los Angeles Lakers,107
Portland Trail Blazers,109,Dallas Mavericks,103
Golden State Warriors,114,Los Angeles Clippers,98
Indiana Pacers,92,New Orleans Pelicans,84
Brooklyn Nets,104,Cleveland Cavaliers,95
New York Knicks,106,Chicago Bulls,94
Oklahoma City Thunder,113,Utah Jazz,91
Los Angeles Clippers,96,Portland Trail Blazers,94
Washington Wizards,129,Minnesota Timberwolves,132
Detroit Pistons,112,Charlotte Hornets,105
Atlanta Hawks,101,Milwaukee Bucks,90
Houston Rockets,112,Toronto Raptors,109
Miami Heat,108,Orlando Magic,97
San Antonio Spurs,110,Memphis Grizzlies,104
Sacramento Kings,116,Phoenix Suns,94
Golden State Warriors,128,Dallas Mavericks,120
Los Angeles Lakers,105,Denver Nuggets,116
Brooklyn Nets,120,Indiana Pacers,110
New Orleans Pelicans,91,Toronto Raptors,115
Orlando Magic,111,Chicago Bulls,89
Detroit Pistons,95,Atlanta Hawks,112
New York Knicks,93,Cleveland Cavaliers,107
Minnesota Timberwolves,84,Utah Jazz,93
Oklahoma City Thunder,111,San Antonio Spurs,92
Milwaukee Bucks,91,Charlotte Hornets,115
Phoenix Suns,99,Boston Celtics,102
Portland Trail Blazers,108,Philadelphia 76ers,105
Los Angeles Clippers,105,Denver Nuggets,90
Indiana Pacers,104,Houston Rockets,101
Sacramento Kings,133,Dallas Mavericks,111
Golden State Warriors,117,Philadelphia 76ers,105
Los Angeles Lakers,88,Washington Wizards,101
Miami Heat,110,Brooklyn Nets,99
Toronto Raptors,100,Oklahoma City Thunder,119
Chicago Bulls,100,Atlanta Hawks,102
Memphis Grizzlies,87,San Antonio Spurs,101
Minnesota Timberwolves,121,Phoenix Suns,116
New Orleans Pelicans,99,New York Knicks,91
Denver Nuggets,88,Dallas Mavericks,97
Utah Jazz,123,Los Angeles Lakers,75
Portland Trail Blazers,105,Sacramento Kings,93
Los Angeles Clippers,114,Boston Celtics,90
Indiana Pacers,96,Chicago Bulls,98
Orlando Magic,139,Brooklyn Nets,105
Philadelphia 76ers,85,Charlotte Hornets,100
Detroit Pistons,88,Oklahoma City Thunder,82
Cleveland Cavaliers,100,Houston Rockets,106
Golden State Warriors,102,Washington Wizards,94
Toronto Raptors,105,Atlanta Hawks,97
Memphis Grizzlies,105,Denver Nuggets,109
Milwaukee Bucks,105,Phoenix Suns,94
Minnesota Timberwolves,79,Los Angeles Clippers,99
Dallas Mavericks,91,New York Knicks,89
San Antonio Spurs,100,New Orleans Pelicans,92
Utah Jazz,96,Golden State Warriors,103
Sacramento Kings,120,Washington Wizards,111
Los Angeles Lakers,102,Miami Heat,100
Cleveland Cavaliers,107,Brooklyn Nets,87
Houston Rockets,100,Chicago Bulls,103
Indiana Pacers,94,Orlando Magic,114
New Orleans Pelicans,101,Denver Nuggets,95
Oklahoma City Thunder,119,Los Angeles Clippers,117
Portland Trail Blazers,116,Boston Celtics,109
Charlotte Hornets,100,Philadelphia 76ers,91
Detroit Pistons,89,Dallas Mavericks,98
New York Knicks,105,Brooklyn Nets,91
Atlanta Hawks,108,Cleveland Cavaliers,110
Memphis Grizzlies,95,Toronto Raptors,99
Milwaukee Bucks,113,Orlando Magic,110
Utah Jazz,98,Minnesota Timberwolves,85
Sacramento Kings,106,Miami Heat,112
Golden State Warriors,106,Boston Celtics,109
Phoenix Suns,99,Washington Wizards,106
Philadelphia 76ers,102,Indiana Pacers,115
Chicago Bulls,90,Detroit Pistons,94
San Antonio Spurs,102,Toronto Raptors,95
Denver Nuggets,106,Sacramento Kings,115
Portland Trail Blazers,110,Miami Heat,93
Brooklyn Nets,87,New Orleans Pelicans,106
Cleveland Cavaliers,112,Charlotte Hornets,103
Houston Rockets,118,Oklahoma City Thunder,110
Los Angeles Clippers,114,Washington Wizards,109
Minnesota Timberwolves,78,Dallas Mavericks,88
Orlando Magic,119,Memphis Grizzlies,107
Phoenix Suns,86,Utah Jazz,101
Milwaukee Bucks,98,Chicago Bulls,102
New York Knicks,87,Indiana Pacers,92
Golden State Warriors,136,Portland Trail Blazers,111
Los Angeles Lakers,100,Boston Celtics,107
Philadelphia 76ers,107,New Orleans Pelicans,93
Toronto Raptors,96,Charlotte Hornets,90
Atlanta Hawks,103,Phoenix Suns,90
Memphis Grizzlies,108,Chicago Bulls,92
Miami Heat,107,Detroit Pistons,89
Milwaukee Bucks,80,Cleveland Cavaliers,109
Denver Nuggets,102,Oklahoma City Thunder,124
Utah Jazz,86,San Antonio Spurs,88
Sacramento Kings,107,Portland Trail Blazers,115
Golden State Warriors,117,Minnesota Timberwolves,124
Los Angeles Clippers,103,Los Angeles Lakers,81
Indiana Pacers,123,Cleveland Cavaliers,109
Orlando Magic,104,Detroit Pistons,108
Washington Wizards,121,Brooklyn Nets,103
Boston Celtics,104,New Orleans Pelicans,97
New York Knicks,97,Charlotte Hornets,111
Dallas Mavericks,88,Houston Rockets,86
Portland Trail Blazers,120,Oklahoma City Thunder,115
Los Angeles Lakers,81,Los Angeles Clippers,91
Atlanta Hawks,95,Toronto Raptors,87
Houston Rockets,115,Phoenix Suns,124
Miami Heat,106,Chicago Bulls,98
Sacramento Kings,97,Minnesota Timberwolves,105
Golden State Warriors,112,San Antonio Spurs,101
Charlotte Hornets,113,Brooklyn Nets,99
Orlando Magic,112,Miami Heat,109
Philadelphia 76ers,102,New York Knicks,109
Boston Celtics,124,Milwaukee Bucks,109
Detroit Pistons,112,Washington Wizards,99
Toronto Raptors,111,Indiana Pacers,98
New Orleans Pelicans,110,Los Angeles Lakers,102
Dallas Mavericks,103,Memphis Grizzlies,93
Denver Nuggets,102,San Antonio Spurs,98
Utah Jazz,99,Los Angeles Clippers,102
New Orleans Pelicans,100,Phoenix Suns,121
Atlanta Hawks,118,Boston Celtics,107
Memphis Grizzlies,99,Golden State Warriors,100
Chicago Bulls,105,Cleveland Cavaliers,102
Portland Trail Blazers,105,Minnesota Timberwolves,106
Sacramento Kings,114,Oklahoma City Thunder,112
Washington Wizards,113,Charlotte Hornets,98
Houston Rockets,130,Los Angeles Lakers,110
Los Angeles Clippers,98,Dallas Mavericks,91
Denver Nuggets,84,Utah Jazz,100
Philadelphia 76ers,108,Milwaukee Bucks,109
Indiana Pacers,129,Brooklyn Nets,105
Miami Heat,118,Orlando Magic,96
