Date,Start Time,Home,Home Points,Visitor,Visitor Points,Winner,Attendance
"Mon, Nov 13, 2017",9:00p,Phoenix Suns,93,Los Angeles Lakers,100,Los Angeles Lakers,"17,533"
"Mon, Nov 13, 2017",9:00p,Utah Jazz,98,Minnesota Timberwolves,109,Minnesota Timberwolves,"17,236"
"Mon, Nov 13, 2017",10:00p,Portland Trail Blazers,99,Denver Nuggets,82,Portland Trail Blazers,"18,895"
"Mon, Nov 13, 2017",10:30p,Golden State Warriors,110,Orlando Magic,100,Golden State Warriors,"19,596"
"Mon, Nov 13, 2017",10:30p,Los Angeles Clippers,105,Philadelphia 76ers,109,Philadelphia 76ers,"19,068"
"Tue, Nov 14, 2017",7:30p,Brooklyn Nets,102,Boston Celtics,109,Boston Celtics,"17,732"
"Tue, Nov 14, 2017",8:00p,Houston Rockets,113,Toronto Raptors,129,Toronto Raptors,"18,055"
"Tue, Nov 14, 2017",8:30p,Dallas Mavericks,91,San Antonio Spurs,97,San Antonio Spurs,"19,535"
"Wed, Nov 15, 2017",7:30p,Atlanta Hawks,126,Sacramento Kings,80,Atlanta Hawks,"13,860"
"Wed, Nov 15, 2017",7:30p,Miami Heat,93,Washington Wizards,102,Washington Wizards,"19,600"
"Wed, Nov 15, 2017",7:30p,New York Knicks,106,Utah Jazz,101,New York Knicks,"18,695"
"Wed, Nov 15, 2017",8:00p,Charlotte Hornets,107,Cleveland Cavaliers,115,Cleveland Cavaliers,"19,427"
"Wed, Nov 15, 2017",8:00p,Memphis Grizzlies,113,Indiana Pacers,116,Indiana Pacers,"16,033"
"Wed, Nov 15, 2017",8:00p,Milwaukee Bucks,99,Detroit Pistons,95,Milwaukee Bucks,"14,594"
"Wed, Nov 15, 2017",8:00p,Minnesota Timberwolves,98,San Antonio Spurs,86,Minnesota Timberwolves,"18,978"
"Wed, Nov 15, 2017",8:00p,New Orleans Pelicans,116,Toronto Raptors,125,Toronto Raptors,"15,654"
"Wed, Nov 15, 2017",8:00p,Oklahoma City Thunder,92,Chicago Bulls,79,Oklahoma City Thunder,"18,203"
"Wed, Nov 15, 2017",10:00p,Portland Trail Blazers,99,Orlando Magic,94,Portland Trail Blazers,"19,206"
"Wed, Nov 15, 2017",10:30p,Los Angeles Lakers,109,Philadelphia 76ers,115,Philadelphia 76ers,"18,997"
